"(PDH-CSV 4.0) (Central Standard Time)(360)","\\C8SGWTAPP5\Process(RiskServer1)\% Processor Time","\\C8SGWTAPP5\Process(RiskServer1)\Private Bytes","\\C8SGWTAPP5\Process(SessionManagerLocal01)\% Processor Time","\\C8SGWTAPP5\Process(SessionManagerLocal01)\Private Bytes","\\C8SGWTAPP5\Process(MALStress_1000001)\% Processor Time","\\C8SGWTAPP5\Process(MALStress_1000001)\Private Bytes","\\C8SGWTAPP5\Process(CmeILink21Msgr)\% Processor Time","\\C8SGWTAPP5\Process(CmeILink21Msgr)\Private Bytes","\\C8SGWTAPP5\Process(DirectIPCPool)\% Processor Time","\\C8SGWTAPP5\Process(DirectIPCPool)\Private Bytes","\\C8SGWTAPP5\Process(IPCCoordinator)\% Processor Time","\\C8SGWTAPP5\Process(IPCCoordinator)\Private Bytes","\\C8SGWTAPP5\Network Interface(iDRAC Virtual NIC USB Device)\Bytes Sent/sec","\\C8SGWTAPP5\Network Interface(Broadcom NetXtreme Gigabit Ethernet)\Bytes Sent/sec","\\C8SGWTAPP5\Network Interface(isatap.{FCA12BB1-8BD9-44E2-84B9-A1CF21721A05})\Bytes Sent/sec","\\C8SGWTAPP5\Network Interface(isatap.local)\Bytes Sent/sec","\\C8SGWTAPP5\Network Interface(iDRAC Virtual NIC USB Device)\Bytes Received/sec","\\C8SGWTAPP5\Network Interface(Broadcom NetXtreme Gigabit Ethernet)\Bytes Received/sec","\\C8SGWTAPP5\Network Interface(isatap.{FCA12BB1-8BD9-44E2-84B9-A1CF21721A05})\Bytes Received/sec","\\C8SGWTAPP5\Network Interface(isatap.local)\Bytes Received/sec","\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Disk Read Bytes/sec","\\C8SGWTAPP5\PhysicalDisk(1 R:)\Disk Read Bytes/sec","\\C8SGWTAPP5\PhysicalDisk(_Total)\Disk Read Bytes/sec","\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Disk Write Bytes/sec","\\C8SGWTAPP5\PhysicalDisk(1 R:)\Disk Write Bytes/sec","\\C8SGWTAPP5\PhysicalDisk(_Total)\Disk Write Bytes/sec","\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Disk Transfers/sec","\\C8SGWTAPP5\PhysicalDisk(1 R:)\Disk Transfers/sec","\\C8SGWTAPP5\PhysicalDisk(_Total)\Disk Transfers/sec","\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Disk Reads/sec","\\C8SGWTAPP5\PhysicalDisk(1 R:)\Disk Reads/sec","\\C8SGWTAPP5\PhysicalDisk(_Total)\Disk Reads/sec","\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Disk Writes/sec","\\C8SGWTAPP5\PhysicalDisk(1 R:)\Disk Writes/sec","\\C8SGWTAPP5\PhysicalDisk(_Total)\Disk Writes/sec","\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Avg. Disk Read Queue Length","\\C8SGWTAPP5\PhysicalDisk(1 R:)\Avg. Disk Read Queue Length","\\C8SGWTAPP5\PhysicalDisk(_Total)\Avg. Disk Read Queue Length","\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Avg. Disk Write Queue Length","\\C8SGWTAPP5\PhysicalDisk(1 R:)\Avg. Disk Write Queue Length","\\C8SGWTAPP5\PhysicalDisk(_Total)\Avg. Disk Write Queue Length","\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Split IO/Sec","\\C8SGWTAPP5\PhysicalDisk(1 R:)\Split IO/Sec","\\C8SGWTAPP5\PhysicalDisk(_Total)\Split IO/Sec","\\C8SGWTAPP5\Memory\Available MBytes","\\C8SGWTAPP5\Processor(0)\% Processor Time","\\C8SGWTAPP5\Processor(1)\% Processor Time","\\C8SGWTAPP5\Processor(2)\% Processor Time","\\C8SGWTAPP5\Processor(3)\% Processor Time","\\C8SGWTAPP5\Processor(4)\% Processor Time","\\C8SGWTAPP5\Processor(5)\% Processor Time","\\C8SGWTAPP5\Processor(6)\% Processor Time","\\C8SGWTAPP5\Processor(7)\% Processor Time","\\C8SGWTAPP5\Processor(8)\% Processor Time","\\C8SGWTAPP5\Processor(9)\% Processor Time","\\C8SGWTAPP5\Processor(10)\% Processor Time","\\C8SGWTAPP5\Processor(11)\% Processor Time","\\C8SGWTAPP5\Processor(12)\% Processor Time","\\C8SGWTAPP5\Processor(13)\% Processor Time","\\C8SGWTAPP5\Processor(14)\% Processor Time","\\C8SGWTAPP5\Processor(15)\% Processor Time","\\C8SGWTAPP5\Processor(16)\% Processor Time","\\C8SGWTAPP5\Processor(17)\% Processor Time","\\C8SGWTAPP5\Processor(18)\% Processor Time","\\C8SGWTAPP5\Processor(19)\% Processor Time","\\C8SGWTAPP5\Processor(20)\% Processor Time","\\C8SGWTAPP5\Processor(21)\% Processor Time","\\C8SGWTAPP5\Processor(22)\% Processor Time","\\C8SGWTAPP5\Processor(23)\% Processor Time","\\C8SGWTAPP5\Processor(24)\% Processor Time","\\C8SGWTAPP5\Processor(25)\% Processor Time","\\C8SGWTAPP5\Processor(26)\% Processor Time","\\C8SGWTAPP5\Processor(27)\% Processor Time","\\C8SGWTAPP5\Processor(28)\% Processor Time","\\C8SGWTAPP5\Processor(29)\% Processor Time","\\C8SGWTAPP5\Processor(30)\% Processor Time","\\C8SGWTAPP5\Processor(31)\% Processor Time","\\C8SGWTAPP5\Processor(_Total)\% Processor Time","\\C8SGWTAPP5\Memory\Page Faults/sec","\\C8SGWTAPP5\Memory\Pages/sec","\\C8SGWTAPP5\System\Context Switches/sec","\\C8SGWTAPP5\System\Processor Queue Length","\\C8SGWTAPP5\Network Interface(iDRAC Virtual NIC USB Device)\Output Queue Length","\\C8SGWTAPP5\Network Interface(Broadcom NetXtreme Gigabit Ethernet)\Output Queue Length","\\C8SGWTAPP5\Network Interface(isatap.{FCA12BB1-8BD9-44E2-84B9-A1CF21721A05})\Output Queue Length","\\C8SGWTAPP5\Network Interface(isatap.local)\Output Queue Length","\\C8SGWTAPP5\Network Interface(iDRAC Virtual NIC USB Device)\Packets/sec","\\C8SGWTAPP5\Network Interface(Broadcom NetXtreme Gigabit Ethernet)\Packets/sec","\\C8SGWTAPP5\Network Interface(isatap.{FCA12BB1-8BD9-44E2-84B9-A1CF21721A05})\Packets/sec","\\C8SGWTAPP5\Network Interface(isatap.local)\Packets/sec","\\C8SGWTAPP5\TCPv4\Segments/sec","\\C8SGWTAPP5\TCPv4\Segments Retransmitted/sec","\\C8SGWTAPP5\Process(Idle)\% Processor Time","\\C8SGWTAPP5\Process(System)\% Processor Time","\\C8SGWTAPP5\Process(System)\Page Faults/sec","\\C8SGWTAPP5\Process(MsMpEng)\% Processor Time","\\C8SGWTAPP5\Process(MsMpEng)\Private Bytes","\\C8SGWTAPP5\Process(dsm_sa_datamgr32)\% Processor Time","\\C8SGWTAPP5\Process(dsm_sa_datamgr32)\Private Bytes","\\C8SGWTAPP5\Process(dsm_om_shrsvc)\% Processor Time","\\C8SGWTAPP5\Process(dsm_om_shrsvc)\Private Bytes"
"12/10/2019 05:33:47.483"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","25713"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","0","0","0","0","0"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"12/10/2019 05:33:48.499"," "," "," "," "," "," "," "," "," "," "," "," ","107.97441734937786","1645.610101454407","0","0","107.97441734937786","1877.5551461308482","0","0","0","0","0","8190.0595085750319","0","8190.0595085750319","1.9995262472107012","0","1.9995262472107012","0","0","0","1.9995262472107012","0","1.9995262472107012","0","0","0","0","0","0","0","0","0","25714","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.0743177145832412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.5358148211639278","0.141542266194572","1044.7524641675914","0","3686.1266367329272","0","0","0","0","0","3.9990524944214023","28.993130584555164","0","0","3.9990524944214023","0","3147.7769199359154","3.0770057868386274","0"," "," "," "," "," "," "
"12/10/2019 05:33:49.499"," "," "," "," "," "," "," "," "," "," "," "," ","54.000095338141435","1284.0022669291409","0","0","54.000095338141435","1658.0029272340464","0","0","0","0","0","16384.028926298321","0","16384.028926298321","2.0000035310422755","0","2.0000035310422755","0","0","0","2.0000035310422755","0","2.0000035310422755","0","0","0","0.0001000026200686458","0","0.0001000026200686458","0","0","0","25715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25.000044138028443","0","1796.0031708759634","0","0","0","0","0","2.0000035310422755","25.000044138028443","0","0","8.0000141241691018","0","3200.0838421966655","0","0"," "," "," "," "," "," "
"12/10/2019 05:33:50.499"," "," "," "," "," "," "," "," "," "," "," "," ","0","334462.40311788209","0","0","0","12167.359845546487","0","0","0","0","0","135160.88885624814","0","135160.88885624814","4.9997369516545396","0","4.9997369516545396","0","0","0","4.9997369516545396","0","4.9997369516545396","0","0","0","0.00020000506012802125","0","0.00020000506012802125","0","0","0","25715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","19.998947806618158","0","1654.9129309976524","0","0","0","0","0","0","496.9738529944612","0","0","0","0","3200.0809620483396","0","0"," "," "," "," "," "," "
"12/10/2019 05:33:51.499"," "," "," "," "," "," "," "," "," "," "," "," ","0","308740.59757478553","0","0","0","10769.125486361743","0","0","0","0","0","12288.143186592359","0","12288.143186592359","3.0000349576641501","0","3.0000349576641501","0","0","0","3.0000349576641501","0","3.0000349576641501","0","0","0","0.00020000616018973384","0","0.00020000616018973384","2.0000233051094334","0","2.0000233051094334","25715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.000570975181112","0","1743.020310402871","0","0","0","0","0","0","391.00455614889421","0","0","4.0000466102188668","0","3200.0985630357413","0","0"," "," "," "," "," "," "
"12/10/2019 05:33:52.499"," "," "," "," "," "," "," "," "," "," "," "," ","180.00311442767449","518.00896263075208","0","0","126.00218009937214","477.00825323333737","0","0","0","0","0","8192.1417410639406","0","8192.1417410639406","2.0000346047519386","0","2.0000346047519386","0","0","0","2.0000346047519386","0","2.0000346047519386","0","0","0","0.0001000026200686458","0","0.0001000026200686458","0","0","0","25715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","447.00773416205828","0","1885.0326149787022","0","0","0","0","0","5.0000865118798465","10.000173023759693","0","0","4.0000692095038772","1.0000173023759693","3200.0838421966655","0","0"," "," "," "," "," "," "
"12/10/2019 05:33:53.499"," "," "," "," "," "," "," "," "," "," "," "," ","107.99935170567437","1174.9929467978461","0","0","107.99935170567437","1448.991302051131","0","0","0","0","0","8191.9508256748559","0","8191.9508256748559","1.9999879945495254","0","1.9999879945495254","0","0","0","1.9999879945495254","0","1.9999879945495254","0","0","0","0.00010000264006969784","0","0.00010000264006969784","0","0","0","25715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20.999873942770016","0","1743.9895312471861","0","0","0","0","0","3.9999759890990507","21.99986794004478","0","0","4.999969986373813","0.99999399727476268","3200.0844822303307","0","0"," "," "," "," "," "," "
"12/10/2019 05:33:54.499"," "," "," "," "," "," "," "," "," "," "," "," ","54.000915260054619","5478.0928480477633","0","0","54.000915260054619","5420.0918649906671","0","0","0","0","0","12288.208272510206","0","12288.208272510206","2.0000338985205417","0","2.0000338985205417","0","0","0","2.0000338985205417","0","2.0000338985205417","0","0","0","0.00010000293008585151","0","0.00010000293008585151","0","0","0","25715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10.000169492602707","0","1705.0288984887616","0","0","0","0","0","2.0000338985205417","59.001000006355973","0","0","34.000576274849209","0","3200.0937627472481","0","0"," "," "," "," "," "," "
"12/10/2019 05:33:55.499"," "," "," "," "," "," "," "," "," "," "," "," ","0","965.99454246152777","0","0","0","1327.992497297007","0","0","0","0","0","12287.930577398813","0","12287.930577398813","2.999983051122757","0","2.999983051122757","0","0","0","2.999983051122757","0","2.999983051122757","0","0","0","0.00010000266007075788","0","0.00010000266007075788","0","0","0","25715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9.9999435037425233","0","1714.9903108918427","0","0","0","0","0","0","18.999892657110795","0","0","2.999983051122757","0","3200.0851222642523","0","0"," "," "," "," "," "," "
"12/10/2019 05:33:56.499"," "," "," "," "," "," "," "," "," "," "," "," ","0","3313.9976596309648","0","0","0","2620.9981490322143","0","0","0","0","0","8191.9942147546353","0","8191.9942147546353","1.9999985875865809","0","1.9999985875865809","0","0","0","1.9999985875865809","0","1.9999985875865809","0","0","0","0.00010000256006553768","0","0.00010000256006553768","0","0","0","25715","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.999957627597425","0","1661.9988262844488","0","0","0","0","0","0","33.999975988971876","0","0","0","0","3200.0819220972053","0","0"," "," "," "," "," "," "
