(PDH-CSV 4.0) (Central Standard Time)(360),\\C8SGWTAPP5\Process(RiskServer1)\% Processor Time,\\C8SGWTAPP5\Process(RiskServer1)\Private Bytes,\\C8SGWTAPP5\Process(SessionManagerLocal01)\% Processor Time,\\C8SGWTAPP5\Process(SessionManagerLocal01)\Private Bytes,\\C8SGWTAPP5\Process(MALStress_1000001)\% Processor Time,\\C8SGWTAPP5\Process(MALStress_1000001)\Private Bytes,\\C8SGWTAPP5\Process(CmeILink21Msgr)\% Processor Time,\\C8SGWTAPP5\Process(CmeILink21Msgr)\Private Bytes,\\C8SGWTAPP5\Process(DirectIPCPool)\% Processor Time,\\C8SGWTAPP5\Process(DirectIPCPool)\Private Bytes,\\C8SGWTAPP5\Process(IPCCoordinator)\% Processor Time,\\C8SGWTAPP5\Process(IPCCoordinator)\Private Bytes,\\C8SGWTAPP5\Network Interface(iDRAC Virtual NIC USB Device)\Bytes Sent/sec,\\C8SGWTAPP5\Network Interface(Broadcom NetXtreme Gigabit Ethernet)\Bytes Sent/sec,\\C8SGWTAPP5\Network Interface(isatap.{FCA12BB1-8BD9-44E2-84B9-A1CF21721A05})\Bytes Sent/sec,\\C8SGWTAPP5\Network Interface(isatap.local)\Bytes Sent/sec,\\C8SGWTAPP5\Network Interface(iDRAC Virtual NIC USB Device)\Bytes Received/sec,\\C8SGWTAPP5\Network Interface(Broadcom NetXtreme Gigabit Ethernet)\Bytes Received/sec,\\C8SGWTAPP5\Network Interface(isatap.{FCA12BB1-8BD9-44E2-84B9-A1CF21721A05})\Bytes Received/sec,\\C8SGWTAPP5\Network Interface(isatap.local)\Bytes Received/sec,\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Disk Read Bytes/sec,\\C8SGWTAPP5\PhysicalDisk(1 R:)\Disk Read Bytes/sec,\\C8SGWTAPP5\PhysicalDisk(_Total)\Disk Read Bytes/sec,\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Disk Write Bytes/sec,\\C8SGWTAPP5\PhysicalDisk(1 R:)\Disk Write Bytes/sec,\\C8SGWTAPP5\PhysicalDisk(_Total)\Disk Write Bytes/sec,\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Disk Transfers/sec,\\C8SGWTAPP5\PhysicalDisk(1 R:)\Disk Transfers/sec,\\C8SGWTAPP5\PhysicalDisk(_Total)\Disk Transfers/sec,\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Disk Reads/sec,\\C8SGWTAPP5\PhysicalDisk(1 R:)\Disk Reads/sec,\\C8SGWTAPP5\PhysicalDisk(_Total)\Disk Reads/sec,\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Disk Writes/sec,\\C8SGWTAPP5\PhysicalDisk(1 R:)\Disk Writes/sec,\\C8SGWTAPP5\PhysicalDisk(_Total)\Disk Writes/sec,\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Avg. Disk Read Queue Length,\\C8SGWTAPP5\PhysicalDisk(1 R:)\Avg. Disk Read Queue Length,\\C8SGWTAPP5\PhysicalDisk(_Total)\Avg. Disk Read Queue Length,\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Avg. Disk Write Queue Length,\\C8SGWTAPP5\PhysicalDisk(1 R:)\Avg. Disk Write Queue Length,\\C8SGWTAPP5\PhysicalDisk(_Total)\Avg. Disk Write Queue Length,\\C8SGWTAPP5\PhysicalDisk(0 F: C: B:)\Split IO/Sec,\\C8SGWTAPP5\PhysicalDisk(1 R:)\Split IO/Sec,\\C8SGWTAPP5\PhysicalDisk(_Total)\Split IO/Sec,\\C8SGWTAPP5\Memory\Available MBytes,\\C8SGWTAPP5\Processor(0)\% Processor Time,\\C8SGWTAPP5\Processor(1)\% Processor Time,\\C8SGWTAPP5\Processor(2)\% Processor Time,\\C8SGWTAPP5\Processor(3)\% Processor Time,\\C8SGWTAPP5\Processor(4)\% Processor Time,\\C8SGWTAPP5\Processor(5)\% Processor Time,\\C8SGWTAPP5\Processor(6)\% Processor Time,\\C8SGWTAPP5\Processor(7)\% Processor Time,\\C8SGWTAPP5\Processor(8)\% Processor Time,\\C8SGWTAPP5\Processor(9)\% Processor Time,\\C8SGWTAPP5\Processor(10)\% Processor Time,\\C8SGWTAPP5\Processor(11)\% Processor Time,\\C8SGWTAPP5\Processor(12)\% Processor Time,\\C8SGWTAPP5\Processor(13)\% Processor Time,\\C8SGWTAPP5\Processor(14)\% Processor Time,\\C8SGWTAPP5\Processor(15)\% Processor Time,\\C8SGWTAPP5\Processor(16)\% Processor Time,\\C8SGWTAPP5\Processor(17)\% Processor Time,\\C8SGWTAPP5\Processor(18)\% Processor Time,\\C8SGWTAPP5\Processor(19)\% Processor Time,\\C8SGWTAPP5\Processor(20)\% Processor Time,\\C8SGWTAPP5\Processor(21)\% Processor Time,\\C8SGWTAPP5\Processor(22)\% Processor Time,\\C8SGWTAPP5\Processor(23)\% Processor Time,\\C8SGWTAPP5\Processor(24)\% Processor Time,\\C8SGWTAPP5\Processor(25)\% Processor Time,\\C8SGWTAPP5\Processor(26)\% Processor Time,\\C8SGWTAPP5\Processor(27)\% Processor Time,\\C8SGWTAPP5\Processor(28)\% Processor Time,\\C8SGWTAPP5\Processor(29)\% Processor Time,\\C8SGWTAPP5\Processor(30)\% Processor Time,\\C8SGWTAPP5\Processor(31)\% Processor Time,\\C8SGWTAPP5\Processor(_Total)\% Processor Time,\\C8SGWTAPP5\Memory\Page Faults/sec,\\C8SGWTAPP5\Memory\Pages/sec,\\C8SGWTAPP5\System\Context Switches/sec,\\C8SGWTAPP5\System\Processor Queue Length,\\C8SGWTAPP5\Network Interface(iDRAC Virtual NIC USB Device)\Output Queue Length,\\C8SGWTAPP5\Network Interface(Broadcom NetXtreme Gigabit Ethernet)\Output Queue Length,\\C8SGWTAPP5\Network Interface(isatap.{FCA12BB1-8BD9-44E2-84B9-A1CF21721A05})\Output Queue Length,\\C8SGWTAPP5\Network Interface(isatap.local)\Output Queue Length,\\C8SGWTAPP5\Network Interface(iDRAC Virtual NIC USB Device)\Packets/sec,\\C8SGWTAPP5\Network Interface(Broadcom NetXtreme Gigabit Ethernet)\Packets/sec,\\C8SGWTAPP5\Network Interface(isatap.{FCA12BB1-8BD9-44E2-84B9-A1CF21721A05})\Packets/sec,\\C8SGWTAPP5\Network Interface(isatap.local)\Packets/sec,\\C8SGWTAPP5\TCPv4\Segments/sec,\\C8SGWTAPP5\TCPv4\Segments Retransmitted/sec,\\C8SGWTAPP5\Process(Idle)\% Processor Time,\\C8SGWTAPP5\Process(System)\% Processor Time,\\C8SGWTAPP5\Process(System)\Page Faults/sec,\\C8SGWTAPP5\Process(MsMpEng)\% Processor Time,\\C8SGWTAPP5\Process(MsMpEng)\Private Bytes,\\C8SGWTAPP5\Process(dsm_sa_datamgr32)\% Processor Time,\\C8SGWTAPP5\Process(dsm_sa_datamgr32)\Private Bytes,\\C8SGWTAPP5\Process(dsm_om_shrsvc)\% Processor Time,\\C8SGWTAPP5\Process(dsm_om_shrsvc)\Private Bytes
49:57.4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,25456, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0, , , , , , , , , , , , , , , 
49:58.4, , , , , , , , , , , , ,54.86016417,1784.987193,0,0,54.86016417,1769.748259,0,0,0,0,0,12483.73514,0,12483.73514,2.031857932,0,2.031857932,0,0,0,2.031857932,0,2.031857932,0,0,0,0,0,0,0,0,0,25457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.1857932,0,2215.741075,0,0,0,0,0,2.031857932,28.44601105,0,0,4.063715864,0,3200.081272,0,0, , , , , , 
49:59.4, , , , , , , , , , , , ,0,1748.008024,0,0,0,1892.008685,0,0,0,0,0,77824.35724,0,77824.35724,3.000013771,0,3.000013771,0,0,0,3.000013771,0,3.000013771,0,0,0,0.000200005,0,0.000200005,0,0,0,25457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.00011476,0,1682.007721,0,0,0,0,0,0,30.00013771,0,0,2.000009181,0,3200.086082,0,0, , , , , , 
50:00.4, , , , , , , , , , , , ,0,320235.7714,0,0,0,12117.14806,0,0,0,0,0,270227.7955,0,270227.7955,5.997598445,0,5.997598445,0,0,0,5.997598445,0,5.997598445,0,0,0,0.000399869,0,0.000399869,0,0,0,25457,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,0.032649337,26.989193,0,1886.244711,0,0,0,0,0,0,485.805474,0,0,1.999199482,0,3198.955221,0,0, , , , , , 
50:01.4, , , , , , , , , , , , ,0,1738.034981,0,0,0,1730.03482,0,0,0,0,0,12288.24732,0,12288.24732,3.000060382,0,3.000060382,0,0,0,3.000060382,0,3.000060382,0,0,0,0.000200005,0,0.000200005,2.000040255,0,2.000040255,25457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352.0070848,0,1811.036451,0,0,0,0,0,0,27.00054344,0,0,2.000040255,0,3200.084802,0,0, , , , , , 
50:02.4, , , , , , , , , , , , ,299.9958687,826.9886115,0,0,245.9966124,1229.983062,0,0,0,0,0,221180.9541,0,221180.9541,6.999903604,0,6.999903604,0,0,0,6.999903604,0,6.999903604,0,0,0,0.000400011,0,0.000400011,0,0,0,25457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99982098,0,1910.973684,0,0,0,0,0,8.999876062,19.99972458,0,0,8.999876062,0,3200.088002,0,0, , , , , , 
50:03.4, , , , , , , , , , , , ,53.99979026,1764.993145,0,0,53.99979026,2082.991909,0,0,0,0,0,12287.95227,0,12287.95227,1.999992232,0,1.999992232,0,0,0,1.999992232,0,1.999992232,0,0,0,0,0,0,0,0,0,25457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.999965043,0,1663.993537,0,0,0,0,0,1.999992232,31.99987571,0,0,3.999984464,0,3200.095043,0,0, , , , , , 
50:04.4, , , , , , , , , , , , ,0,1039.025315,0,0,0,1279.031163,0,0,0,0,0,8192.199596,0,8192.199596,2.000048729,0,2.000048729,0,0,0,2.000048729,0,2.000048729,0,0,0,0.000100003,0,0.000100003,0,0,0,25457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,473.0115245,0,1823.044417,0,0,0,0,0,0,19.00046293,0,0,2.000048729,0,3200.080002,0,0, , , , , , 
50:05.4, , , , , , , , , , , , ,0,1773.007513,0,0,0,1918.008127,0,0,0,0,0,207360.8786,0,207360.8786,46.00019491,0,46.00019491,0,0,0,46.00019491,0,46.00019491,0,0,0,0.00290008,0,0.00290008,0,0,0,25457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.000033898,0,1791.007589,0,0,0,0,0,0,30.00012712,0,0,2.000008475,0,3200.088322,0,0, , , , , , 
50:06.4, , , , , , , , , , ,r, ,0,3374.995233,0,0,0,3136.995569,0,0,0,0,0,12287.98264,0,12287.98264,1.999997175,0,1.999997175,0,0,0,1.999997175,0,1.999997175,0,0,0,0.000100003,0,0.000100003,0,0,0,25457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339.9995198,0,1816.997434,0,0,0,0,0,0,37.99994633,0,0,18.99997316,0,3200.093763,0,0, , , , , , 
50:07.4, , , , , , , , , , , , ,245.9985233,3715.977694,0,0,191.9988475,4005.975953,0,0,0,0,0,90111.45908,0,90111.45908,5.999963984,0,5.999963984,0,0,0,5.999963984,0,5.999963984,0,0,0,0.000200005,0,0.000200005,0,0,0,25457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.99948377,0,1867.988787,0,0,0,0,0,6.999957981,48.99970587,0,0,32.99980191,0,3200.083522,0,0, , , , , , 
50:08.4, , , , , , , , , , , , ,54.00013347,1676.004143,0,0,54.00013347,2010.004968,0,0,0,0,0,12288.03037,0,12288.03037,2.000004943,0,2.000004943,0,0,0,2.000004943,0,2.000004943,0,0,0,0.000100003,0,0.000100003,0,0,0,25457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00001483,0,1684.004162,0,0,0,0,0,2.000004943,30.00007415,0,0,9.000022246,0,3200.084802,0,0, , , , , , 
50:09.4, , , , , , , , , , , , ,0,7721.855489,0,0,0,6341.881315,0,0,0,0,0,8191.846694,24575.54008,32767.38678,1.999962572,4.999906429,6.999869001,0,0,0,1.999962572,4.999906429,6.999869001,0,0,0,0.000100003,0.000200006,0.000300009,0,0,0,25457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99979414,0,1758.967082,0,0,0,0,0,0,92.99825958,0,0,5.999887715,0,3200.091523,0,0, , , , , , 
